# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
3.2169366e+06	1.7008478e+02	2.7308978e+18	6.4129375e-02
3.2255977e+06	1.7008478e+02	2.7037250e+18	6.3491277e-02
3.2342589e+06	1.7008478e+02	2.6768224e+18	6.2859529e-02
3.2429201e+06	1.7008478e+02	2.6501876e+18	6.2234066e-02
3.2515813e+06	1.7008478e+02	2.6238178e+18	6.1614827e-02
3.2602424e+06	1.7008478e+02	2.5977104e+18	6.1001749e-02
3.2689036e+06	1.7008478e+02	2.5718627e+18	6.0394771e-02
3.2775648e+06	1.7008478e+02	2.5462723e+18	5.9793833e-02
3.2862260e+06	1.7008478e+02	2.5209364e+18	5.9198875e-02
3.2948872e+06	1.7008478e+02	2.4958527e+18	5.8609836e-02
3.3035483e+06	1.7008478e+02	2.4710186e+18	5.8026658e-02
3.3122095e+06	1.7008478e+02	2.4464315e+18	5.7449284e-02
3.3208707e+06	1.7008478e+02	2.4220891e+18	5.6877654e-02
3.3295319e+06	1.7008478e+02	2.3979889e+18	5.6311712e-02
3.3381930e+06	1.7008478e+02	2.3741285e+18	5.5751401e-02
3.3468542e+06	1.7008478e+02	2.3505056e+18	5.5196665e-02
3.3555154e+06	1.7008478e+02	2.3271176e+18	5.4647449e-02
3.3641766e+06	1.7008478e+02	2.3039624e+18	5.4103698e-02
3.3728378e+06	1.7008478e+02	2.2810376e+18	5.3565357e-02
3.3814989e+06	1.7008478e+02	2.2583409e+18	5.3032373e-02
3.3901601e+06	1.7008478e+02	2.2358701e+18	5.2504692e-02
3.3988213e+06	1.7008478e+02	2.2136228e+18	5.1982261e-02
3.4074825e+06	1.7008478e+02	2.1915969e+18	5.1465029e-02
3.4161436e+06	1.7008478e+02	2.1697901e+18	5.0952944e-02
3.4248048e+06	1.7008478e+02	2.1482003e+18	5.0445953e-02
3.4334660e+06	1.7008478e+02	2.1268254e+18	4.9944008e-02
3.4421272e+06	1.7008478e+02	2.1056631e+18	4.9447057e-02
3.4507883e+06	1.7008478e+02	2.0847114e+18	4.8955050e-02
3.4594495e+06	1.7008478e+02	2.0639682e+18	4.8467939e-02
3.4681107e+06	1.7008478e+02	2.0434314e+18	4.7985675e-02
3.4767719e+06	1.7008478e+02	2.0230989e+18	4.7508210e-02
3.4854331e+06	1.7008478e+02	2.0029687e+18	4.7035495e-02
3.4940942e+06	1.7008478e+02	1.9830388e+18	4.6567484e-02
3.5027554e+06	1.7008478e+02	1.9633073e+18	4.6104130e-02
